Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BW2	IJ2	JH2	LC2	MT2	RM2	SM2	TD2																		
147	HL	23.8	17.33036	0.587676634	a	0.453095465	28.402	7.628	1	0	1	1	1	1	1	1																		
148	HL	15.5	15.71477	0.548123663	b	0.162532331	28.272	10.937	0	0	0	0	0	0	0	0																		
149	HL	14.2	15.38476	0.53452883	b	0.130235201	28.505	12.463	0	0	0	0	0	0	0	0																		
150	HL	21.6	16.96496	0.581704158	a	0.361619905	28.583	16.127	1	1	1	0	1	0	1	0																		
151	HL	20.5	16.76805	0.577892617	b	0.319835911	28.129	18.254	0	0	0	1	0	0	0	0																		
152	HL	19.3	16.54080	0.572903391	c	0.277231456	28.284	20.874	0	0	0	0	0	0	0	0																		
153	HL	13.5	15.19431	0.525481827	b	0.114286829	28.528	22.932	0	0	0	0	0	0	0	0																		
154	HL	21.2	16.89454	0.580392408	b	0.346122365	28.573	25.030	0	0	0	0	0	0	0	0																		
155	HL	18.1	16.29897	0.566814521	c	0.237710373	28.625	27.433	0	0	0	0	0	0	0	0																		
156	HL	14.3	15.41120	0.535711595	a	0.132595669	27.489	29.127	0	1	0	0	0	0	0	0																		
157	HL	20.0	16.67502	0.57593056	a	0.301707716	26.928	22.844	0	0	1	0	0	0	0	0																		
158	HL	15.5	15.71477	0.548123663	b	0.162532331	30.114	29.245	0	1	0	0	0	0	0	0																		
159	HL	22.1	17.05117	0.583235982	a	0.381480998	30.155	25.828	0	0	0	0	1	0	0	0																		
160	HL	11.6	14.62287	0.491962363	a	0.076027446	30.226	24.163	0	0	0	0	0	0	0	0																		
161	HL	15.1	15.61627	0.544322969	c	0.152222108	29.994	22.391	0	0	0	0	0	0	0	0																		
162	HL	21.0	16.85883	0.579705725	b	0.338503743	30.161	20.480	0	0	0	0	0	0	0	0																		
164	HL	17.7	16.21478	0.564487644	b	0.225217388	30.130	18.707	0	0	0	0	0	0	0	0																		
165	HL	12.4	14.87412	0.507982804	b	0.091245926	30.096	16.787	0	0	0	0	0	0	0	0																		
166	HL	15.5	15.71477	0.548123663	b	0.162532331	30.066	15.024	0	0	0	0	0	0	0	0																		
167	HL	19.0	16.48178	0.571495203	b	0.267063119	30.124	12.641	0	0	0	0	0	0	0	0																		
168	HL	20.9	16.84085	0.579354334	a	0.334726922	29.985	10.405	0	0	0	0	0	0	0	0																		
169	HL	19.1	16.50156	0.571972456	a	0.270431176	29.753	8.583	0	0	0	0	0	0	0	0																		
170	HL	20.9	16.84085	0.579354334	b	0.334726922	29.517	6.545	0	0	0	0	0	0	0	0																		
171	HL	22.2	17.06818	0.583528832	b	0.385518572	29.872	3.984	0	0	0	0	0	0	0	0																		
172	HL	22.2	17.06818	0.583528832	b	0.385518572	29.838	2.034	0	1	0	0	1	0	1	1																		
173	HL	20.1	16.69381	0.576335608	b	0.305290268	31.169	2.674	0	0	0	0	0	0	0	0																		
174	HL	8.0	13.22308	0.350304392	a	0.023283489	31.647	12.828	0	0	0	0	0	0	0	0																		
175	HL	9.5	13.87049	0.428830629	b	0.042161373	31.677	14.532	0	0	0	0	0	0	0	0																		
176	HL	17.1	16.08486	0.560669874	b	0.207112646	31.808	16.285	0	0	0	0	0	0	0	0																		
177	HL	18.4	16.36090	0.568455769	b	0.247302986	31.337	17.939	0	0	0	0	0	0	0	0																		
