Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
109	HL	8.2	9.38784	0.368241659	b	0.018256438	19.300	14.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
110	HL	11.2	10.55053	0.479808081	a	0.04987324	18.100	12.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
111	HL	6.4	8.46361	0.219109444	c	0.005965768	18.100	10.616	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
112	HL	15.4	11.73810	0.541744572	b	0.118446933	18.200	9.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
113	HL	10.4	10.27416	0.458969173	b	0.040057745	18.500	8.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
114	HL	14.5	11.51354	0.532822748	b	0.10130184	18.100	7.795	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
115	HL	14.9	11.61502	0.536988503	b	0.108754498	17.600	5.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
116	HL	10.7	10.38021	0.467320068	b	0.043619244	17.800	2.748	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
117	HL	13.3	11.19139	0.517994166	b	0.080538224	19.300	2.113	1	0	1	0	0	0	0	0	0	0	0	0	0	0												
118	HL	11.5	10.64910	0.48654697	a	0.053817468	20.500	1.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
119	HL	14.1	11.40922	0.528297159	b	0.094115715	20.600	3.968	0	1	0	0	0	0	0	0	0	0	0	0	0	0												
120	HL	8.5	9.52183	0.384707744	b	0.020786401	19.200	4.280	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
121	HL	13.1	11.13489	0.515120892	b	0.077308526	19.200	6.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
122	HL	11.1	10.51708	0.477441967	a	0.048590525	20.900	6.067	0	1	0	0	0	0	0	0	0	0	0	0	0	0												
123	HL	9.2	9.81695	0.417269567	b	0.027230711	20.100	7.531	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
124	HL	17.6	12.23607	0.558037604	a	0.166119488	20.200	8.674	1	0	1	1	1	0	1	0	0	0	0	0	0	0												
