Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
106	SS	21.2	20.40152	0.506876215	a	0.365027935	20.983	2.903	0	0	0	0	0	1	0	0	0	0	0	0	0														
107	SS	21.4	20.46706	0.506518693	a	0.372879422	2.098	24.317	0	0	0	0	0	0	0	0	0	0	0	0	0														
108	SS	21.1	20.36852	0.507050327	a	0.361131483	17.353	25.833	0	0	0	0	0	0	0	0	0	0	0	0	0														
109	SS	20.7	20.23493	0.5077138	c	0.345741292	7.170	23.351	0	0	0	0	0	1	1	0	1	0	1	0	0														
110	SS	20.9	20.30205	0.507388833	b	0.353397235	12.952	22.066	0	0	0	0	0	0	0	0	0	0	0	0	0														
111	SS	21.2	20.40152	0.506876215	a	0.365027935	14.716	19.999	0	0	0	0	1	0	0	0	0	0	0	0	0														
112	SS	21.7	20.56423	0.505960354	a	0.384802893	8.805	16.570	0	0	0	0	1	0	0	0	0	0	0	0	0														
113	SS	21.2	20.40152	0.506876215	c	0.365027935	26.601	19.217	0	0	0	1	0	1	0	0	1	0	1	1	1														
114	SS	20.7	20.23493	0.5077138	c	0.345741292	29.009	15.604	0	0	0	0	0	0	1	0	0	1	0	0	0														
115	SS	21.9	20.62827	0.505574306	b	0.392849199	7.988	2.372	0	0	0	0	0	0	0	0	0	0	0	0	0														
116	SS	22.3	20.75460	0.50477157	b	0.409174874	24.745	8.138	0	0	0	0	0	0	0	0	0	0	0	0	0														
117	SS	21.0	20.33536	0.507221228	c	0.357254579	2.317	11.818	0	0	0	0	0	0	0	0	0	0	0	0	0														
118	SS	21.9	20.62827	0.505574306	c	0.392849199	28.137	24.017	0	0	0	1	1	0	0	0	0	0	0	1	0														
119	SS	21.1	20.36852	0.507050327	a	0.361131483	4.703	18.048	0	0	0	0	0	0	0	0	0	0	0	0	0														
120	SS	21.7	20.56423	0.505960354	a	0.384802893	20.952	21.023	0	0	0	0	0	1	0	0	0	0	0	0	0														
121	SS	22.5	20.81693	0.504355934	a	0.417454013	13.904	8.167	0	0	0	0	0	0	0	0	0	0	0	0	0														
122	SS	22.4	20.78583	0.504564889	a	0.413304764	34.147	25.862	0	0	0	0	0	0	0	0	0	0	0	0	0														
123	SS	21.6	20.53199	0.506149305	b	0.380808923	14.617	15.759	0	0	0	0	0	0	0	0	0	0	0	0	0														
124	SS	22.5	20.81693	0.504355934	b	0.417454013	25.412	11.654	0	0	0	0	1	1	0	0	0	0	0	0	0														
125	SS	23.0	20.97034	0.503279114	b	0.43849016	41.103	17.266	0	0	0	0	0	0	0	0	0	0	0	0	0														
126	SS	22.6	20.84788	0.504144766	a	0.421622608	2.258	7.781	0	0	0	0	0	0	0	0	0	0	0	0	0														
127	SS	30.0	22.82492	0.485188602	b	0.782802491	18.193	7.375	0	0	0	0	0	0	0	0	0	0	0	0	0														
128	SS	22.6	20.84788	0.504144766	b	0.421622608	8.395	11.354	0	0	0	0	0	0	0	0	0	0	0	0	0														
129	SS	23.2	21.03077	0.502834468	b	0.447039639	2.369	15.440	0	0	0	0	0	0	0	0	0	0	0	0	0														
130	SS	23.2	21.03077	0.502834468	b	0.447039639	26.854	9.423	0	0	0	0	0	0	0	0	0	1	0	0	0														
131	SS	23.3	21.06079	0.502609373	b	0.451343255	35.673	10.205	0	0	0	0	0	0	0	0	1	0	0	0	0														
132	SS	22.7	20.87869	0.503931443	c	0.425810535	19.828	9.374	0	0	0	0	0	1	1	1	0	0	0	0	0														
133	SS	23.6	21.15009	0.501923589	b	0.464369439	28.268	20.618	0	0	0	0	0	0	0	0	0	0	0	0	0														
134	SS	24.0	21.26740	0.500986439	b	0.482006275	32.246	11.934	0	0	0	0	0	0	0	0	0	0	0	0	0														
135	SS	23.5	21.12045	0.502153886	a	0.460008169	4.839	21.970	0	0	0	0	0	0	0	0	0	0	0	0	0														
136	SS	23.7	21.17960	0.501691651	b	0.468749898	40.262	1.609	0	0	0	1	0	0	0	0	0	0	0	0	0														
137	SS	23.8	21.20899	0.501458118	b	0.473149534	25.229	9.906	0	0	0	0	0	0	0	0	0	1	0	0	0														
138	SS	24.1	21.29642	0.500748378	a	0.486463353	12.036	6.931	0	0	0	0	0	0	0	0	0	0	0	0	0														
139	SS	23.9	21.23825	0.501223033	b	0.477568331	6.312	9.693	0	0	0	0	0	0	0	0	0	0	0	0	0														
140	SS	24.3	21.35411	0.500268015	b	0.495434855	13.286	26.220	0	0	0	0	0	0	0	0	0	0	0	0	0														
141	SS	24.6	21.43975	0.499537454	b	0.50903526	17.207	20.077	0	0	0	0	0	0	0	0	0	0	0	0	0														
142	SS	23.8	21.20899	0.501458118	a	0.473149534	21.346	4.699	0	0	0	0	0	0	0	0	0	0	0	0	0														
143	SS	23.9	21.23825	0.501223033	b	0.477568331	24.686	23.457	0	0	0	0	0	0	0	0	0	0	0	0	0														
144	SS	24.1	21.29642	0.500748378	b	0.486463353	23.119	3.753	0	0	0	0	0	0	1	0	0	0	0	0	0														
