Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB2	BC2	CB2	CN2	JH2	KB2	MMP2	PS2	PW2	SC2	ST2															
105	SP	11.8	9.28257	0.54368846	a	0.05519148	16.338	33.260	0	0	0	0	0	0	0	0	0	0	0															
106	SP	7.3	7.73677	0.582000306	b	0.018845967	18.937	32.600	0	0	0	0	0	0	0	0	0	0	0															
107	SP	15.4	10.13966	0.526442276	c	0.099427217	18.857	30.940	0	0	0	0	0	0	0	0	0	0	0															
108	SP	10.2	8.81353	0.554167714	c	0.039909981	18.765	29.010	0	0	0	0	0	0	0	0	0	0	0															
109	SP	10.1	8.78182	0.554906659	b	0.039042454	18.772	27.070	0	0	0	0	0	0	0	0	0	0	0															
110	SP	9.4	8.55062	0.560421683	b	0.033255091	18.566	26.950	0	0	0	0	0	0	0	0	0	0	0															
111	SP	12.4	9.44221	0.540300012	a	0.061608698	18.588	25.310	0	0	0	0	0	0	0	0	0	0	0															
112	SP	13.8	9.78655	0.533273269	c	0.078059776	18.472	22.890	0	0	1	1	0	0	1	1	0	0	0															
113	SP	9.1	8.44621	0.562990128	a	0.03092684	18.370	20.750	0	0	0	0	0	0	0	0	0	0	0															
114	SP	9.6	8.61839	0.558781148	a	0.034857818	18.293	19.150	0	0	0	0	0	0	0	0	0	0	0															
115	SP	17.4	10.53269	0.519255963	c	0.130049669	18.193	17.070	0	0	0	0	0	0	0	0	0	0	0															
116	SP	14.3	9.90111	0.531016692	c	0.084441121	18.088	14.880	0	0	0	0	0	0	0	0	0	0	0															
117	SP	11.7	9.25517	0.544278609	a	0.054158583	18.189	12.800	0	0	0	0	0	0	0	0	0	0	0															
118	SP	9	8.41065	0.563876882	a	0.03017092	17.981	12.640	0	0	0	0	0	0	0	0	0	0	0															
119	SP	14.3	9.90111	0.531016692	a	0.084441121	17.995	10.830	0	1	0	1	1	0	1	0	1	0	0															
120	SP	13.6	9.73955	0.53421037	a	0.07558212	17.497	8.790	0	0	0	0	0	1	0	0	0	0	0															
121	SP	10	8.74979	0.555657131	a	0.038185146	17.620	7.190	0	0	0	0	0	0	0	0	0	0	0															
122	SP	13	9.59432	0.537149839	b	0.068404714	17.638	5.480	0	0	0	0	0	0	0	0	0	0	0															
123	SP	12.6	9.49372	0.539224946	a	0.063831818	17.760	1.760	1	1	0	0	1	1	0	1	1	1	1															
124	SP	17.5	10.55114	0.518929039	b	0.131696209	20.606	1.510	0	0	0	0	0	0	0	0	0	0	0															
125	SP	11.8	9.28257	0.54368846	a	0.05519148	20.846	4.050	0	0	0	1	0	0	0	0	0	0	0															
126	SP	10.8	8.99752	0.549959253	a	0.045330528	20.374	5.820	0	0	0	0	0	0	0	0	0	0	0															
127	SP	7	7.60169	0.58599649	a	0.01714317	20.077	6.030	0	0	0	0	0	0	0	0	0	0	0															
128	SP	13.8	9.78655	0.533273269	b	0.078059776	19.806	7.870	0	0	0	1	0	0	0	0	0	1	1															
129	SP	11.8	9.28257	0.54368846	a	0.05519148	20.032	9.520	0	0	0	0	0	0	0	0	0	0	0															
130	SP	13.4	9.69187	0.535168287	a	0.073147118	20.661	11.360	0	0	1	0	0	0	0	0	0	0	0															
131	SP	6.5	7.36314	0.593434462	a	0.014499488	20.693	13.410	0	0	0	0	0	0	0	0	0	0	0															
132	SP	13.1	9.61898	0.536645968	a	0.069574394	19.533	15.950	1	1	0	1	1	1	0	1	0	0	0															
133	SP	17.9	10.62389	0.517648596	b	0.138393071	19.869	18.210	0	0	0	0	0	0	0	0	0	0	0															
134	SP	6.5	7.36314	0.593434462	c	0.014499488	19.999	20.140	0	0	0	0	0	0	0	0	0	0	0															
135	SP	8.6	8.26431	0.567591327	c	0.027247646	20.328	21.930	0	0	0	0	0	0	0	0	0	0	0															
136	SP	14.5	9.94582	0.530146711	a	0.087068773	21.060	24.000	1	1	1	0	1	1	0	0	1	0	1															
137	SP	8.2	8.11100	0.571604148	a	0.024484273	21.228	28.270	0	0	0	0	0	0	0	0	0	0	0															
138	SP	7.9	7.99102	0.574838606	a	0.022516063	22.924	33.660	0	0	0	0	0	0	0	0	0	0	0															
139	SP	14.7	9.98991	0.529294419	a	0.089739478	22.685	31.910	0	0	1	0	1	1	1	0	1	0	0															
140	SP	14.4	9.92354	0.530579452	a	0.085749571	22.543	30.020	0	0	0	0	0	0	0	1	0	0	0															
141	SP	18.5	10.73001	0.515805641	b	0.148771466	22.261	26.320	0	0	0	0	0	0	0	0	0	0	0															
142	SP	17.3	10.51414	0.519585689	a	0.128414182	21.638	20.740	0	0	1	1	0	0	0	1	1	1	0															
