Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AL2	BA2	CT2	GL2	JE2	JH2	KM2	KS2	RZ2	SM2
110	SS	23.5	19.27572	0.49567	b	0.41441	16.700	26.020	0	0	0	0	0	0	0	0	0	0
111	SS	14.9	16.43445	0.49934	c	0.14309	16.500	21.280	0	0	0	0	0	1	0	1	0	0
112	SS	9.1	13.35966	0.41739	c	0.03627	16.800	21.080	0	0	0	0	0	1	0	1	0	0
113	SS	21.8	18.80747	0.49921	a	0.35044	16.700	19.050	0	0	1	1	0	1	0	1	0	1
114	SS	17.6	17.47294	0.50363	c	0.21409	17.500	13.100	0	0	0	0	0	0	0	0	0	0
115	SS	16.2	16.95607	0.50250	c	0.17562	17.300	13.290	0	0	0	0	0	0	0	0	0	0
116	SS	27.6	20.27854	0.48544	b	0.58895	17.200	10.470	0	1	0	0	1	1	0	1	1	0
117	SS	25.8	19.85799	0.49012	b	0.50883	17.000	8.460	1	0	0	0	0	0	0	0	0	0
118	SS	26	19.90614	0.48961	b	0.51746	16.700	5.570	0	0	0	1	0	0	1	0	0	0
119	SS	17.9	17.57834	0.50364	a	0.22279	14.370	5.250	0	0	0	0	0	0	0	0	0	0
120	SS	16.8	17.18285	0.50322	a	0.19167	14.570	7.650	0	0	0	0	0	0	0	0	0	0
121	SS	19.2	18.01553	0.50298	b	0.26235	14.670	10.060	0	0	0	0	0	1	1	0	0	0
122	SS	26.4	20.00134	0.48859	b	0.53493	13.570	10.970	1	1	1	0	1	0	1	0	0	1
123	SS	28.7	20.52224	0.48249	b	0.64057	14.670	19.790	0	1	0	0	1	0	0	0	0	0
124	SS	21.4	18.69199	0.49995	a	0.33612	13.870	23.600	0	0	0	0	0	0	0	0	0	0
125	SS	16.6	17.10817	0.50303	b	0.18625	13.870	25.550	0	1	0	0	1	1	0	1	0	0
126	SS	12.1	15.13643	0.48035	c	0.08361	13.670	27.620	0	0	0	0	0	0	0	0	0	0
