Treenumber	X	Y	Species	dbh 	quality	h 	factor	V	AH2	DN2	KB2	NJA2	SE2	ST2	VS2
171	12.393	1.269	SS	15.2	a	14.36205632	0.520475675	0.13564198	0	0	0	0	0	0	1
172	12.026	4.407	SS	22.7	a	16.19129418	0.498371738	0.32657021	0	0	0	0	1	0	0
173	12.697	8.443	SS	17.3	b	14.95228728	0.514395712	0.180795268	0	1	0	0	0	0	0
174	12.677	10.312	SS	14.8	a	14.24042511	0.521640907	0.127793248	0	0	0	0	0	0	0
175	12.854	12.140	SS	14.6	b	14.17837109	0.522225486	0.123959551	0	0	0	0	0	0	0
176	12.945	14.288	SS	16.4	b	14.70862044	0.516998883	0.16063461	0	0	0	0	0	0	0
177	13.031	16.296	SS	17.2	a	14.92584721	0.514685173	0.178495563	1	0	0	0	0	0	0
178	13.411	18.185	SS	19.8	a	15.56789675	0.507098909	0.243076448	0	1	0	0	0	0	0
179	13.683	19.883	SS	13.6	b	13.85476732	0.525176593	0.105699345	0	0	0	0	0	0	0
180	13.764	21.792	SS	13.8	a	13.92135098	0.524581813	0.109230184	0	1	0	0	0	0	0
181	13.941	23.620	SS	14.3	a	14.08367772	0.523105379	0.118322468	0	0	0	0	0	0	0
182	13.512	25.279	SS	17.6	a	15.0307001	0.513526684	0.187783506	1	1	1	0	0	0	0
183	13.675	26.777	SS	17.9	a	15.10778757	0.512656443	0.194905113	0	0	0	0	0	0	0
184	13.765	28.876	SS	12.5	b	13.47009577	0.528506791	0.087363729	0	0	0	0	0	0	0
185	14.141	30.674	SS	17.1	a	14.89925296	0.514974548	0.176210734	0	0	0	0	0	0	0
186	14.101	32.093	SS	13.3	b	13.75303299	0.526074134	0.100516787	0	0	0	0	0	0	0
187	12.404	32.283	SS	18.4	a	15.23344015	0.511202533	0.207069681	0	1	1	1	0	0	0
188	12.187	29.125	SS	15.8	b	14.53862934	0.518734929	0.147867596	0	0	0	0	0	0	0
189	12.217	27.227	SS	15.3	a	14.39196397	0.520185048	0.137641904	0	1	0	0	0	0	0
190	12.254	25.508	SS	13.3	b	13.75303299	0.526074134	0.100516787	0	0	0	0	0	0	0
191	12.189	23.770	SS	16.7	b	14.79129763	0.516131448	0.167220463	0	0	0	0	0	0	0
192	12.223	21.972	SS	17.1	a	14.89925296	0.514974548	0.176210734	0	0	0	0	0	0	0
193	12.054	20.103	SS	12.1	a	13.32176075	0.529750155	0.081150901	0	0	0	0	0	0	0
194	11.979	18.085	SS	12.2	b	13.35929923	0.529437331	0.082681392	0	0	0	0	0	0	0
195	11.714	16.316	SS	18.3	a	15.20858504	0.511493715	0.204607323	0	1	0	0	0	0	0
196	11.646	14.478	SS	14.9	b	14.27113836	0.521349144	0.129732773	0	0	0	0	0	0	0
197	11.374	12.520	SS	12.8	c	13.57826448	0.527586979	0.09218243	0	0	0	0	0	0	0
198	11.470	12.420	SS	11.0	c	12.88706055	0.533300565	0.06531323	0	0	0	0	0	0	0
199	11.606	10.681	SS	17.3	a	14.95228728	0.514395712	0.180795268	0	1	0	1	0	0	0
200	11.535	8.763	SS	14.6	b	14.17837109	0.522225486	0.123959551	0	0	0	0	0	0	0
201	11.652	6.525	SS	14.8	b	14.24042511	0.521640907	0.127793248	0	0	0	0	0	0	0
202	11.422	2.978	SS	15.5	b	14.45119727	0.519604459	0.141686991	0	0	0	0	0	0	0
203	11.149	1.010	SS	11.5	b	13.08980059	0.53165931	0.072285638	0	0	0	0	0	0	0
204	9.704	1.149	SS	15.7	b	14.50967114	0.519024618	0.145792342	0	0	0	0	0	0	0
205	9.868	2.878	SS	13.1	a	13.68392712	0.526676522	0.097137559	0	0	0	0	0	0	0
206	9.732	4.626	SS	15.4	a	14.42167677	0.51989465	0.13965691	0	0	0	0	0	0	0
207	9.800	6.465	SS	17.8	a	15.08223624	0.512946677	0.192516451	0	0	0	0	0	0	0
208	9.690	8.883	SS	18.6	a	15.28274765	0.510619503	0.212038445	1	0	1	0	0	0	1
209	9.674	11.171	SS	15.6	b	14.48052791	0.519314455	0.143732138	0	0	0	0	0	0	0
210	10.122	12.480	SS	10.6	a	12.71811901	0.534654348	0.060006404	0	0	0	0	0	0	0
211	10.300	14.578	SS	18.6	a	15.28274765	0.510619503	0.212038445	0	1	0	0	0	0	1
212	10.271	16.496	SS	10.8	b	12.80337196	0.533972459	0.062629741	0	0	0	0	0	0	0
